,NAME,state,place,H011001,H011004,% Renters
322,"Villas CDP, Florida",12,74512,11556,4668,0.403946002
323,"Vineyards CDP, Florida",12,74562,3329,429,0.128867528
324,"Virginia Gardens village, Florida",12,74575,2375,1072,0.451368421
325,"Wabasso CDP, Florida",12,74625,609,226,0.371100164
326,"Wabasso Beach CDP, Florida",12,74635,1853,117,0.063140853
327,"Ashton city, Idaho",16,3610,1100,290,0.263636364
328,"Banks CDP, Idaho",16,4600,17,4,0.235294118
329,"Basalt city, Idaho",16,5230,394,71,0.180203046
330,"Bellevue city, Idaho",16,6220,2287,760,0.332313074
331,"Bloomington city, Idaho",16,8560,206,22,0.106796117
332,"Bennington CDP, Idaho",16,6670,190,10,0.052631579
333,"Blackfoot city, Idaho",16,7840,11592,3612,0.311594203
334,"Bliss city, Idaho",16,8470,318,152,0.477987421
335,"Bonners Ferry city, Idaho",16,9370,2483,957,0.385420862
336,"Buhl city, Idaho",16,10810,4076,1323,0.324582924
337,"Burley city, Idaho",16,11260,10072,3823,0.379567117
338,"Castleford city, Idaho",16,13240,226,87,0.384955752
339,"Butte City city, Idaho",16,11710,74,17,0.22972973
340,"Carey city, Idaho",16,12790,604,153,0.253311258
341,"Cascade city, Idaho",16,13150,914,316,0.345733042
342,"Challis city, Idaho",16,13780,1072,337,0.314365672
343,"Chubbuck city, Idaho",16,14680,13912,3667,0.263585394
344,"Clark Fork city, Idaho",16,14950,536,154,0.287313433
345,"Bancroft city, Idaho",16,4420,377,60,0.159151194
346,"Bovill city, Idaho",16,9730,260,46,0.176923077
347,"Caldwell city, Idaho",16,12250,44705,15390,0.344256795
348,"Cambridge city, Idaho",16,12520,328,96,0.292682927
349,"Clayton city, Idaho",16,15490,7,0,0
350,"Blanchard CDP, Idaho",16,8290,261,80,0.30651341
351,"Boise City city, Idaho",16,8830,201954,72698,0.359973063
352,"Cottonwood city, Idaho",16,18640,882,193,0.218820862
353,"Conkling Park CDP, Idaho",16,17830,43,5,0.11627907
354,"Clifton city, Idaho",16,16120,259,29,0.111969112
355,"Coeur d'Alene city, Idaho",16,16750,42922,17945,0.418083966
356,"Council city, Idaho",16,18820,820,253,0.308536585
357,"Craigmont city, Idaho",16,19270,501,81,0.161676647
358,"Crouch city, Idaho",16,19720,162,36,0.222222222
359,"Culdesac city, Idaho",16,19900,380,111,0.292105263
360,"Dalton Gardens city, Idaho",16,20350,2335,197,0.084368308
361,"Dayton city, Idaho",16,20710,463,59,0.127429806
362,"Declo city, Idaho",16,20980,343,85,0.247813411
363,"De Smet CDP, Idaho",16,21520,175,66,0.377142857
364,"Dietrich city, Idaho",16,21790,332,67,0.201807229
365,"Donnelly city, Idaho",16,22330,152,69,0.453947368
366,"Dover city, Idaho",16,22510,555,111,0.2
367,"Downey city, Idaho",16,22600,625,108,0.1728
368,"Driggs city, Idaho",16,22690,1653,795,0.480943739
369,"Drummond city, Idaho",16,22780,16,0,0
370,"Dubois city, Idaho",16,22960,677,259,0.382570162
371,"East Hope city, Idaho",16,23680,210,77,0.366666667
372,"Eden city, Idaho",16,24310,405,140,0.345679012
373,"Elk City CDP, Idaho",16,24940,202,80,0.396039604
374,"Elk River city, Idaho",16,25120,125,19,0.152
375,"Emmett city, Idaho",16,25570,6447,2405,0.373041725
376,"Fairfield city, Idaho",16,26290,416,150,0.360576923
377,"Ferdinand city, Idaho",16,27460,159,31,0.194968553
378,"Fernan Lake Village city, Idaho",16,27550,169,19,0.112426036
379,"Filer city, Idaho",16,27730,2508,656,0.261562998
380,"Hopatcong borough, New Jersey",34,32910,15129,1386,0.091612136
381,"Iselin CDP, New Jersey",34,34470,18691,5409,0.289390616
382,"Hi-Nella borough, New Jersey",34,32220,870,544,0.625287356
383,"Hope CDP, New Jersey",34,33030,195,51,0.261538462
384,"Hopewell borough, New Jersey",34,33150,1922,399,0.207596254
385,"Hutchinson CDP, New Jersey",34,33690,135,29,0.214814815
386,"Interlaken borough, New Jersey",34,34200,820,54,0.065853659
387,"Island Heights borough, New Jersey",34,34530,1673,209,0.124925284
388,"Jamesburg borough, New Jersey",34,34890,5901,2035,0.344856804
389,"Jersey City city, New Jersey",34,36000,244754,167046,0.6825057
390,"Johnsonburg CDP, New Jersey",34,36150,101,26,0.257425743
391,"Juliustown CDP, New Jersey",34,36300,429,45,0.104895105
392,"Keansburg borough, New Jersey",34,36480,9831,3994,0.406265894
393,"Kenvil CDP, New Jersey",34,36720,2912,662,0.227335165
394,"Kearny town, New Jersey",34,36510,38114,19725,0.517526368
395,"Kendall Park CDP, New Jersey",34,36660,9339,805,0.086197666
396,"Kenilworth borough, New Jersey",34,36690,7906,1751,0.221477359
397,"Keyport borough, New Jersey",34,36810,7204,2974,0.412826208
