GEO_ID,NAME,P001001
id,Geographic Area Name,Total
1600000US3771560,"Weaverville town, North Carolina",3120
1600000US3771600,"Webster town, North Carolina",363
1600000US3771680,"Weddington town, North Carolina",9459
1600000US3771780,"Weldon town, North Carolina",1655
1600000US3771860,"Wendell town, North Carolina",5845
1600000US3771900,"Wentworth town, North Carolina",2807
1600000US3771940,"Wesley Chapel village, North Carolina",7463
1600000US3772150,"West Canton CDP, North Carolina",1247
1600000US3772540,"West Jefferson town, North Carolina",1299
1600000US3773160,"Whitakers town, North Carolina",744
1600000US3772600,"West Marion CDP, North Carolina",1348
1600000US3772755,"Westport CDP, North Carolina",4026
1600000US3773140,"Whispering Pines village, North Carolina",2928
1600000US3773300,"White Lake town, North Carolina",802
1600000US3773320,"White Oak CDP, North Carolina",338
1600000US3773460,"White Plains CDP, North Carolina",1074
1600000US3773660,"Whiteville city, North Carolina",5394
1600000US3773760,"Whitsett town, North Carolina",590
1600000US3774020,"Wilkesboro town, North Carolina",3413
1600000US3774580,"Wilson's Mills town, North Carolina",2277
1600000US3774220,"Williamston town, North Carolina",5511
1600000US3774440,"Wilmington city, North Carolina",106476
1600000US3774540,"Wilson city, North Carolina",49167
1600000US3774680,"Windsor town, North Carolina",3630
1600000US3774720,"Winfall town, North Carolina",594
1600000US3774760,"Wingate town, North Carolina",3491
1600000US3775000,"Winston-Salem city, North Carolina",229617
1600000US3775060,"Winterville town, North Carolina",9269
1600000US3775375,"Woodlawn CDP, North Carolina",900
1600000US3775280,"Woodfin town, North Carolina",6123
1600000US3775080,"Winton town, North Carolina",769
1600000US3775340,"Woodland town, North Carolina",809
1600000US3775780,"Wrightsboro CDP, North Carolina",4896
1600000US3775820,"Wrightsville Beach town, North Carolina",2477
1600000US3775960,"Yadkinville town, North Carolina",2959
1600000US3776000,"Yanceyville town, North Carolina",2039
1600000US3776200,"Youngsville town, North Carolina",1157
1600000US3776220,"Zebulon town, North Carolina",4433
1600000US3800940,"Alamo city, North Dakota",57
1600000US3801740,"Alsen city, North Dakota",35
1600000US3802860,"Ardoch city, North Dakota",67
1600000US3804020,"Ayr city, North Dakota",17
1600000US3800100,"Abercrombie city, North Dakota",263
1600000US3800340,"Adams city, North Dakota",127
1600000US3803540,"Ashley city, North Dakota",749
1600000US3801180,"Alexander city, North Dakota",223
1600000US3801860,"Ambrose city, North Dakota",26
1600000US3802380,"Aneta city, North Dakota",222
1600000US3803220,"Arnegard city, North Dakota",115
1600000US3801420,"Alice city, North Dakota",40
1600000US3936232,"Hooven CDP, Ohio",534
1600000US3936260,"Hopedale village, Ohio",950
1600000US3936512,"Howard CDP, Ohio",242
1600000US1273675,"Valparaiso city, Florida",5036
1600000US1273700,"Valrico CDP, Florida",35545
1600000US1273725,"Vamo CDP, Florida",4727
1600000US1273900,"Venice city, Florida",20748
1600000US1273950,"Venice Gardens CDP, Florida",7104
1600000US1274235,"Verona Walk CDP, Florida",1782
1600000US1274125,"Vernon city, Florida",687
1600000US1274150,"Vero Beach city, Florida",15220
1600000US1274200,"Vero Beach South CDP, Florida",23092
1600000US1274368,"Viera East CDP, Florida",10757
1600000US1274370,"Viera West CDP, Florida",6641
1600000US1274498,"Villano Beach CDP, Florida",2678
1600000US1274512,"Villas CDP, Florida",11569
1600000US1274562,"Vineyards CDP, Florida",3375
1600000US1274575,"Virginia Gardens village, Florida",2375
1600000US1274625,"Wabasso CDP, Florida",609
1600000US1274635,"Wabasso Beach CDP, Florida",1853
1600000US1603610,"Ashton city, Idaho",1127
1600000US1604600,"Banks CDP, Idaho",17
1600000US1605230,"Basalt city, Idaho",394
1600000US1606220,"Bellevue city, Idaho",2287
1600000US1608560,"Bloomington city, Idaho",206
1600000US1606670,"Bennington CDP, Idaho",190
1600000US1607840,"Blackfoot city, Idaho",11899
1600000US1608470,"Bliss city, Idaho",318
1600000US1609370,"Bonners Ferry city, Idaho",2543
1600000US1610810,"Buhl city, Idaho",4122
1600000US1611260,"Burley city, Idaho",10345
1600000US1613240,"Castleford city, Idaho",226
1600000US1611710,"Butte City city, Idaho",74
1600000US1612790,"Carey city, Idaho",604
1600000US1613150,"Cascade city, Idaho",939
1600000US1613780,"Challis city, Idaho",1081
1600000US1614680,"Chubbuck city, Idaho",13922
1600000US1614950,"Clark Fork city, Idaho",536
1600000US1604420,"Bancroft city, Idaho",377
1600000US1609730,"Bovill city, Idaho",260
1600000US1612250,"Caldwell city, Idaho",46237
1600000US1612520,"Cambridge city, Idaho",328
1600000US1615490,"Clayton city, Idaho",7
1600000US1608290,"Blanchard CDP, Idaho",261
1600000US1608830,"Boise City city, Idaho",205671
1600000US1618640,"Cottonwood city, Idaho",900
1600000US1617830,"Conkling Park CDP, Idaho",43
1600000US1616120,"Clifton city, Idaho",259
1600000US1616750,"Coeur d'Alene city, Idaho",44137
1600000US1618820,"Council city, Idaho",839
1600000US1619270,"Craigmont city, Idaho",501
1600000US1619720,"Crouch city, Idaho",162
1600000US1619900,"Culdesac city, Idaho",380
1600000US1620350,"Dalton Gardens city, Idaho",2335
1600000US1620710,"Dayton city, Idaho",463
1600000US1620980,"Declo city, Idaho",343
1600000US1621520,"De Smet CDP, Idaho",175
1600000US1621790,"Dietrich city, Idaho",332
1600000US1622330,"Donnelly city, Idaho",152
1600000US1622510,"Dover city, Idaho",556
1600000US1622600,"Downey city, Idaho",625
1600000US1622690,"Driggs city, Idaho",1660
1600000US1622780,"Drummond city, Idaho",16
1600000US1622960,"Dubois city, Idaho",677
1600000US1623680,"East Hope city, Idaho",210
1600000US1624310,"Eden city, Idaho",405
1600000US1624940,"Elk City CDP, Idaho",202
1600000US1625120,"Elk River city, Idaho",125
1600000US1625570,"Emmett city, Idaho",6557
1600000US1626290,"Fairfield city, Idaho",416
1600000US1627460,"Ferdinand city, Idaho",159
1600000US1627550,"Fernan Lake Village city, Idaho",169
1600000US1627730,"Filer city, Idaho",2508
1600000US3432910,"Hopatcong borough, New Jersey",15147
1600000US3434470,"Iselin CDP, New Jersey",18695
1600000US3432220,"Hi-Nella borough, New Jersey",870
1600000US3433030,"Hope CDP, New Jersey",195
1600000US3433150,"Hopewell borough, New Jersey",1922
1600000US3433690,"Hutchinson CDP, New Jersey",135
1600000US3434200,"Interlaken borough, New Jersey",820
1600000US3434530,"Island Heights borough, New Jersey",1673
1600000US3434890,"Jamesburg borough, New Jersey",5915
1600000US3436000,"Jersey City city, New Jersey",247597
1600000US3436150,"Johnsonburg CDP, New Jersey",101
1600000US3436300,"Juliustown CDP, New Jersey",429
1600000US3436480,"Keansburg borough, New Jersey",10105
1600000US3436720,"Kenvil CDP, New Jersey",3009
1600000US3436510,"Kearny town, New Jersey",40684
1600000US3436660,"Kendall Park CDP, New Jersey",9339
1600000US3436690,"Kenilworth borough, New Jersey",7914
1600000US3436810,"Keyport borough, New Jersey",7240
1600000US3436960,"Kingston Estates CDP, New Jersey",5685
1600000US3437110,"Kinnelon borough, New Jersey",10248
