,PCT023003,NAME,state,place
373,199,"Elk City CDP, Idaho",16,24940
374,125,"Elk River city, Idaho",16,25120
375,5974,"Emmett city, Idaho",16,25570
376,387,"Fairfield city, Idaho",16,26290
377,149,"Ferdinand city, Idaho",16,27460
378,163,"Fernan Lake Village city, Idaho",16,27550
379,2298,"Filer city, Idaho",16,27730
380,13794,"Hopatcong borough, New Jersey",34,32910
381,7753,"Iselin CDP, New Jersey",34,34470
382,624,"Hi-Nella borough, New Jersey",34,32220
383,180,"Hope CDP, New Jersey",34,33030
384,1827,"Hopewell borough, New Jersey",34,33150
385,127,"Hutchinson CDP, New Jersey",34,33690
386,807,"Interlaken borough, New Jersey",34,34200
387,1603,"Island Heights borough, New Jersey",34,34530
388,4371,"Jamesburg borough, New Jersey",34,34890
389,80885,"Jersey City city, New Jersey",34,36000
390,101,"Johnsonburg CDP, New Jersey",34,36150
391,402,"Juliustown CDP, New Jersey",34,36300
392,8505,"Keansburg borough, New Jersey",34,36480
393,2513,"Kenvil CDP, New Jersey",34,36720
394,29933,"Kearny town, New Jersey",34,36510
395,6115,"Kendall Park CDP, New Jersey",34,36660
396,6970,"Kenilworth borough, New Jersey",34,36690
397,5792,"Keyport borough, New Jersey",34,36810
398,4358,"Kingston Estates CDP, New Jersey",34,36960
399,9536,"Kinnelon borough, New Jersey",34,37110
400,1458,"Lake Como borough, New Jersey",34,37560
401,2050,"Lakehurst borough, New Jersey",34,37770
402,2693,"Laurel Lake CDP, New Jersey",34,39120
403,9510,"Lake Mohawk CDP, New Jersey",34,38040
404,1177,"Lake Telemark CDP, New Jersey",34,38430
405,3566,"Lambertville city, New Jersey",34,38610
406,327,"Burdett village, New York",36,11132
407,2621,"Brookville village, New York",36,10132
408,1428,"Brocton village, New York",36,08488
409,5709,"Bronxville village, New York",36,08532
410,2012,"Buchanan village, New York",36,10341
411,3083,"Brookhaven CDP, New York",36,09000
412,1092,"Brownville village, New York",36,10231
413,459,"Brushton village, New York",36,10286
414,204,"Burke village, New York",36,11154
415,131753,"Buffalo city, New York",36,11000
416,44,"Byersville CDP, New York",36,11550
417,2547,"Calcium CDP, New York",36,11671
418,163,"Callicoon CDP, New York",36,11748
419,5677,"Calverton CDP, New York",36,11781
420,1797,"Cambridge village, New York",36,11825
421,1143,"Camillus village, New York",36,11902
422,693,"Campbell CDP, New York",36,11935
423,707,"Cape Vincent village, New York",36,12353
424,2182,"Camden village, New York",36,11847
425,373,"Busti CDP, New York",36,11440
426,1305,"Cairo CDP, New York",36,11638
