,H002001,H002002,NAME,state,place
15843,188,162,"Glen St. Mary town, Florida",12,26075
15844,4141,4141,"Gladeview CDP, Florida",12,25987
15845,1169,895,"Glencoe CDP, Florida",12,26000
15846,94,94,"Glen Ridge town, Florida",12,26050
15847,8322,8322,"Glenvar Heights CDP, Florida",12,26100
15848,246,0,"Flovilla city, Georgia",13,30312
15849,2530,2487,"Flowery Branch city, Georgia",13,30340
15850,577,0,"Fort Gaines city, Georgia",13,30816
15851,1328,0,"Stroud city, Oklahoma",40,71000
15852,21,0,"Sugden town, Oklahoma",40,71250
15853,2311,2186,"Sulphur city, Oklahoma",40,71350
15854,65,0,"Summit town, Oklahoma",40,71450
15855,45,0,"Sweetwater town, Oklahoma",40,71900
15856,54,0,"Swink CDP, Oklahoma",40,71950
15857,55,0,"Sycamore CDP, Oklahoma",40,71965
15858,128,0,"Talala town, Oklahoma",40,72200
15859,153,0,"Taft town, Oklahoma",40,72050
15860,5,0,"Tagg Flats CDP, Oklahoma",40,72075
15861,6857,6699,"Tahlequah city, Oklahoma",40,72100
15862,536,0,"Talihina town, Oklahoma",40,72250
15863,169,0,"Taloga town, Oklahoma",40,72350
15864,94,0,"Tamaha town, Oklahoma",40,72400
15865,87,0,"Tatums town, Oklahoma",40,72500
15866,2664,2096,"Tecumseh city, Oklahoma",40,72650
15867,542,0,"Temple town, Oklahoma",40,72750
15868,231,0,"Terral town, Oklahoma",40,72900
15869,243,0,"Tenkiller CDP, Oklahoma",40,72775
15870,76,0,"Teresita CDP, Oklahoma",40,72800
15871,44,0,"Terlton town, Oklahoma",40,72850
15872,1884,0,"Texanna CDP, Oklahoma",40,72950
15873,394,0,"Texhoma town, Oklahoma",40,73100
15874,38,0,"Texola town, Oklahoma",40,73150
15875,189,0,"Thackerville town, Oklahoma",40,73200
15876,4661,4661,"The Village city, Oklahoma",40,73250
15877,1194,1194,"Eagleville CDP (Montgomery County), Pennsylvania",42,20672
15878,530,486,"Earlston CDP, Pennsylvania",42,20704
15879,450,420,"East Bangor borough, Pennsylvania",42,20776
15880,677,0,"East Berlin borough, Pennsylvania",42,20792
15881,895,895,"East Berwick CDP, Pennsylvania",42,20800
15882,554,0,"East Brady borough, Pennsylvania",42,20840
15883,328,282,"East Butler borough, Pennsylvania",42,20904
15884,659,659,"East Conemaugh borough, Pennsylvania",42,20992
15885,386,369,"East Earl CDP, Pennsylvania",42,21064
15886,500,404,"East Freedom CDP, Pennsylvania",42,21176
15887,1152,1152,"East McKeesport borough, Pennsylvania",42,21444
15888,1173,1173,"East Greenville borough, Pennsylvania",42,21200
15889,1025,1025,"East Lansdowne borough, Pennsylvania",42,21384
15890,1226,1190,"Eastlawn Gardens CDP, Pennsylvania",42,21400
15891,10356,10356,"Easton city, Pennsylvania",42,21648
15892,1779,1779,"East Petersburg borough, Pennsylvania",42,21688
15893,1035,1035,"East Pittsburgh borough, Pennsylvania",42,21712
15894,333,333,"East Prospect borough, Pennsylvania",42,21728
15895,271,271,"East Rochester borough, Pennsylvania",42,21752
15896,3456,3456,"East Stroudsburg borough, Pennsylvania",42,21872
15897,98,0,"East Rutherford CDP, Pennsylvania",42,21786
15898,80,0,"East Salem CDP, Pennsylvania",42,21792
15899,150,0,"East Side borough, Pennsylvania",42,21816
15900,1121,1121,"East Uniontown CDP, Pennsylvania",42,21960
15901,107,107,"Eastvale borough, Pennsylvania",42,21968
15902,365,365,"East Vandergrift borough, Pennsylvania",42,21976
15903,942,942,"East Washington borough, Pennsylvania",42,22016
15904,3864,3864,"East York CDP, Pennsylvania",42,22104
15905,146,0,"Eau Claire borough, Pennsylvania",42,22128
15906,1742,1742,"Ebensburg borough, Pennsylvania",42,22144
15907,144,127,"Edenborn CDP, Pennsylvania",42,22344
15908,1010,1010,"Eddystone borough, Pennsylvania",42,22296
15909,3797,2758,"Economy borough, Pennsylvania",42,22264
15910,704,704,"Eddington CDP, Pennsylvania",42,22280
15911,302,269,"Edenburg CDP, Pennsylvania",42,22352
15912,1669,1669,"Edgewood borough, Pennsylvania",42,22520
15913,1276,1276,"Edgewood CDP, Pennsylvania",42,22528
15914,655,655,"Edgeworth borough, Pennsylvania",42,22576
15915,789,0,"Ackley city, Iowa",19,00190
15916,218,0,"Ainsworth city, Iowa",19,00730
15917,403,0,"Adair city, Iowa",19,00370
15918,400,0,"Afton city, Iowa",19,00595
15919,306,0,"Agency city, Iowa",19,00640
15920,250,0,"Allerton city, Iowa",19,01270
15921,252,0,"Alburnett city, Iowa",19,01000
15922,368,0,"Alden city, Iowa",19,01045
15923,2711,2616,"Algona city, Iowa",19,01135
15924,470,0,"Allison city, Iowa",19,01315
15925,132,0,"Alta Vista city, Iowa",19,01540
15926,2105,2081,"Anamosa city, Iowa",19,01990
15927,85,0,"Alvord city, Iowa",19,01675
15928,209,0,"Amana CDP, Iowa",19,01720
15929,23876,23784,"Ames city, Iowa",19,01855
15930,27,0,"Anderson CDP, Iowa",19,02035
15931,173,0,"Andrew city, Iowa",19,02125
15932,49,0,"Arispe city, Iowa",19,02800
15933,505,0,"Aplington city, Iowa",19,02395
15934,63,0,"Archer city, Iowa",19,02530
15935,48,0,"Arion city, Iowa",19,02755
15936,212,0,"Arlington city, Iowa",19,02845
15937,439,0,"Armstrong city, Iowa",19,02935
15938,38,0,"Ackworth city, Iowa",19,00235
15939,1579,1317,"Adel city, Iowa",19,00505
15940,1463,1442,"Asbury city, Iowa",19,03160
15941,27,0,"Aspinwall city, Iowa",19,03340
15942,146,0,"Auburn city, Iowa",19,03610
15943,113,0,"Arthur city, Iowa",19,03115
15944,702,0,"Akron city, Iowa",19,00775
15945,86,0,"Alexander city, Iowa",19,01090
15946,336,0,"Albert City city, Iowa",19,00865
15947,838,0,"Alta city, Iowa",19,01495
15948,295,0,"Anthon city, Iowa",19,02350
15949,1763,1658,"Albia city, Iowa",19,00910
15950,220,0,"Albion city, Iowa",19,00955
15951,40,0,"Andover city, Iowa",19,02080
15952,26,0,"Toeterville CDP, Iowa",19,78465
